[2024-02-01 14:07:13.897]  Trade on 2023-01-20 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-21 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-22 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-23 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-24 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-25 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-26 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-27 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-28 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-29 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.897]  Trade on 2023-01-30 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-01-31 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-01 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-02 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-03 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-04 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-05 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-06 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-07 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-08 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-09 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-10 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-11 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-12 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-13 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-14 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-15 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-16 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-17 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-18 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-19 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-20 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-21 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-22 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-23 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-24 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-25 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-26 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-27 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-02-28 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-01 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-02 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-03 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-04 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-05 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-06 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-07 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-08 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-09 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-10 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-11 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-12 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-13 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-14 - Signal: 1, Result: Executed Sell Order
